fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
4r1k1/pQ3pp1/7p/4q3/4r3/P7/1P2nPPP/2BR1R1K b - - 0 1,e4h4->b7c8->h4h2,2,2,0,1.1669409275054932
3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1 w - - 1 1,d1b1->g8h8->d8f8,2,2,0,0.19201207160949707
6k1/5p2/p3bRpQ/4q3/2r3P1/6NP/P1p2R1K/1r6 w - - 1 1,f6e6->e5h8->e6e8,2,2,0,0.898421049118042
rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR b KQkq - 0 1,c5g1->f6d8->b6f2,2,2,0,1.3461329936981201
r2r4/pp2ppkp/2P3p1/q1p5/4PQ2/2P2b2/P4PPP/2R1KB1R b - - 0 1,a5a2->f4b8->a2d2,2,2,0,0.5551729202270508
8/8/2N1P3/1P6/4Q3/4b2K/4k3/4q3 w - - 1 1,b5b6->e2f2->e4g2,2,2,0,0.5346031188964844
1b2r1k1/3n2p1/p3p2p/1p3r2/3PNp1q/3BnP1P/PP1BQP1K/R6R b - - 0 1,h4h3->h2g1->h3g2,2,2,0,0.9656131267547607
5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4 w - - 1 1,d3b5->f8g7->b5c6,2,2,0,0.5721309185028076
8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8 b - - 0 1,c2g2->g3f4->g2g5,2,2,0,0.25688600540161133
r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1 w - - 1 1,g5g6->f8g8->h4h7,2,2,0,1.1825432777404785
r1b3nr/ppp1kB1p/3p4/8/3PPBnb/1Q3p2/PPP2q2/RN4RK b - - 0 1,f2h2->f4h2->g4f2,2,2,0,2.71501088142395
q5k1/5rb1/r6p/1Np1n1p1/3p1Pn1/1N4P1/PP5P/R1BQRK2 b - - 0 1,d4d3->b5c7->a8h1,2,2,0,3.9647421836853027
8/2P2pk1/3Q4/4pq2/7p/6pP/2r3P1/6RK b - - 0 1,f5h3->g2h3->c2h2,2,2,0,0.18733787536621094
8/p1R3p1/4p1kn/3p3N/3Pr2P/6P1/PP3K2/8 w - - 1 1,c7g7->g6f5->g7g5,2,2,0,0.0971529483795166
r1b1k2r/1p2bppp/p3q3/1p2p1B1/8/3Q1N2/PPP2PPP/3R1RK1 w kq - 1 1,d3d8->e7d8->d1d8,2,2,0,0.7268218994140625
rn2k2r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/3RR2K w kq - 1 1,a2a4->h8g8->e6g8,2,2,0,0.7497951984405518
r1b1k2r/pp3ppp/2n1p3/6B1/2p1q3/Q7/PP2PPPP/3RKB1R w Kkq - 1 1,d1d8->c6d8->a3e7,2,2,0,6.689920902252197
2k4r/1pp1n1pp/p1pr1pb1/4p3/Nq2P1P1/1P1PKN1P/2P1QP2/3R3R b - - 0 1,e7d5->e4d5->b4f4,2,2,0,1.0039150714874268
5k1r/4npp1/p3p2p/3nP2P/3P3Q/3N4/qB2KPP1/2R5 w - - 1 1,c1c8->e7c8->h4d8,2,2,0,2.5449869632720947
